servo1 servo2 servo3 distance row column
148 15 90 395 7 66
146 15 90 377 7 65
144 15 90 373 7 64
141 15 90 376 7 63
139 15 90 767 7 62
137 15 90 775 7 61
135 15 90 833 7 60
132 15 90 875 7 59
130 15 90 925 7 58
128 15 90 317 7 57
126 15 90 317 7 56
123 15 90 310 7 55
121 15 90 305 7 54
119 15 90 303 7 53
117 15 90 298 7 52
114 15 90 295 7 51
112 15 90 293 7 50
110 15 90 258 7 49
108 15 90 230 7 48
105 15 90 228 7 47
103 15 90 228 7 46
101 15 90 227 7 45
99 15 90 226 7 44
96 15 90 227 7 43
94 15 90 226 7 42
92 15 90 227 7 41
90 15 90 228 7 40
87 15 90 228 7 39
85 15 90 229 7 38
83 15 90 230 7 37
81 15 90 232 7 36
78 15 90 235 7 35
76 15 90 237 7 34
74 15 90 239 7 33
72 15 90 244 7 32
69 15 90 246 7 31
67 15 90 254 7 30
65 15 90 254 7 29
63 15 90 260 7 28
60 15 90 266 7 27
58 15 90 276 7 26
56 15 90 281 7 25
54 15 90 290 7 24
51 15 90 300 7 23
49 15 90 313 7 22
47 15 90 320 7 21
45 15 90 333 7 20
42 15 90 346 7 19
40 15 90 368 7 18
38 15 90 381 7 17
36 15 90 404 7 16
33 15 90 450 7 15
31 15 90 440 7 14
29 15 90 432 7 13
27 15 90 429 7 12
24 15 90 418 7 11
22 15 90 411 7 10
20 15 90 404 7 9
18 15 90 398 7 8
15 15 90 397 7 7
13 15 90 390 7 6
11 15 90 389 7 5
9 15 90 385 7 4
6 15 90 383 7 3
4 15 90 379 7 2
2 15 90 380 7 1
0 15 90 378 7 0
0 18 90 382 8 0
2 18 90 381 8 1
4 18 90 382 8 2
6 18 90 383 8 3
9 18 90 385 8 4
11 18 90 389 8 5
13 18 90 390 8 6
15 18 90 392 8 7
18 18 90 396 8 8
20 18 90 404 8 9
22 18 90 406 8 10
24 18 90 411 8 11
27 18 90 420 8 12
29 18 90 428 8 13
31 18 90 435 8 14
33 18 90 444 8 15
36 18 90 447 8 16
38 18 90 465 8 17
40 18 90 423 8 18
42 18 90 425 8 19
45 18 90 418 8 20
47 18 90 338 8 21
49 18 90 334 8 22
51 18 90 319 8 23
54 18 90 307 8 24
56 18 90 295 8 25
58 18 90 288 8 26
60 18 90 282 8 27
63 18 90 274 8 28
65 18 90 264 8 29
67 18 90 260 8 30
69 18 90 511 8 31
72 18 90 252 8 32
74 18 90 245 8 33
76 18 90 243 8 34
78 18 90 239 8 35
81 18 90 237 8 36
83 18 90 234 8 37
85 18 90 232 8 38
87 18 90 231 8 39
90 18 90 230 8 40
92 18 90 229 8 41
94 18 90 229 8 42
96 18 90 228 8 43
99 18 90 228 8 44
101 18 90 227 8 45
103 18 90 227 8 46
105 18 90 228 8 47
108 18 90 228 8 48
110 18 90 230 8 49
112 18 90 232 8 50
114 18 90 293 8 51
117 18 90 297 8 52
119 18 90 301 8 53
121 18 90 303 8 54
123 18 90 307 8 55
126 18 90 312 8 56
128 18 90 319 8 57
130 18 90 318 8 58
132 18 90 910 8 59
135 18 90 891 8 60
137 18 90 790 8 61
139 18 90 802 8 62
141 18 90 728 8 63
144 18 90 719 8 64
146 18 90 380 8 65
148 18 90 380 8 66
150 18 90 401 8 67
153 18 90 410 8 68
155 18 90 446 8 69
157 18 90 444 8 70
159 18 90 479 8 71
162 18 90 491 8 72
164 18 90 517 8 73
166 18 90 521 8 74
168 18 90 767 8 75
171 18 90 504 8 76
173 18 90 488 8 77
175 18 90 489 8 78
177 18 90 485 8 79
177 20 90 484 9 79
175 20 90 483 9 78
173 20 90 492 9 77
171 20 90 490 9 76
168 20 90 503 9 75
166 20 90 514 9 74
164 20 90 509 9 73
162 20 90 514 9 72
159 20 90 514 9 71
157 20 90 552 9 70
155 20 90 559 9 69
153 20 90 598 9 68
150 20 90 430 9 67
148 20 90 397 9 66
146 20 90 379 9 65
144 20 90 376 9 64
141 20 90 361 9 63
139 20 90 340 9 62
137 20 90 329 9 61
135 20 90 818 9 60
132 20 90 868 9 59
130 20 90 950 9 58
128 20 90 321 9 57
126 20 90 319 9 56
123 20 90 312 9 55
121 20 90 307 9 54
119 20 90 306 9 53
117 20 90 301 9 52
114 20 90 297 9 51
112 20 90 295 9 50
110 20 90 233 9 49
108 20 90 231 9 48
105 20 90 230 9 47
103 20 90 229 9 46
101 20 90 229 9 45
99 20 90 228 9 44
96 20 90 228 9 43
94 20 90 228 9 42
92 20 90 228 9 41
90 20 90 229 9 40
87 20 90 230 9 39
85 20 90 231 9 38
83 20 90 233 9 37
81 20 90 233 9 36
78 20 90 237 9 35
76 20 90 239 9 34
74 20 90 243 9 33
72 20 90 245 9 32
69 20 90 250 9 31
67 20 90 254 9 30
65 20 90 258 9 29
63 20 90 263 9 28
60 20 90 271 9 27
58 20 90 283 9 26
56 20 90 289 9 25
54 20 90 314 9 24
51 20 90 336 9 23
49 20 90 343 9 22
47 20 90 359 9 21
45 20 90 355 9 20
42 20 90 356 9 19
40 20 90 438 9 18
38 20 90 425 9 17
36 20 90 470 9 16
33 20 90 456 9 15
31 20 90 447 9 14
29 20 90 438 9 13
27 20 90 434 9 12
24 20 90 424 9 11
22 20 90 415 9 10
20 20 90 411 9 9
18 20 90 407 9 8
15 20 90 402 9 7
13 20 90 398 9 6
11 20 90 393 9 5
9 20 90 391 9 4
6 20 90 388 9 3
4 20 90 385 9 2
2 20 90 384 9 1
0 20 90 384 9 0
0 22 90 387 10 0
2 22 90 388 10 1
4 22 90 389 10 2
6 22 90 388 10 3
9 22 90 390 10 4
11 22 90 394 10 5
13 22 90 396 10 6
15 22 90 400 10 7
18 22 90 401 10 8
20 22 90 409 10 9
22 22 90 409 10 10
24 22 90 414 10 11
27 22 90 421 10 12
29 22 90 420 10 13
31 22 90 431 10 14
33 22 90 437 10 15
36 22 90 450 10 16
38 22 90 469 10 17
40 22 90 452 10 18
42 22 90 443 10 19
45 22 90 355 10 20
47 22 90 368 10 21
49 22 90 363 10 22
51 22 90 343 10 23
54 22 90 336 10 24
56 22 90 319 10 25
58 22 90 319 10 26
60 22 90 304 10 27
63 22 90 308 10 28
65 22 90 294 10 29
67 22 90 299 10 30
69 22 90 268 10 31
72 22 90 265 10 32
74 22 90 250 10 33
76 22 90 249 10 34
78 22 90 241 10 35
81 22 90 239 10 36
83 22 90 235 10 37
85 22 90 235 10 38
87 22 90 234 10 39
90 22 90 233 10 40
92 22 90 231 10 41
94 22 90 230 10 42
96 22 90 230 10 43
99 22 90 231 10 44
101 22 90 231 10 45
103 22 90 231 10 46
105 22 90 231 10 47
108 22 90 231 10 48
110 22 90 231 10 49
112 22 90 238 10 50
114 22 90 298 10 51
117 22 90 299 10 52
119 22 90 305 10 53
121 22 90 304 10 54
123 22 90 310 10 55
126 22 90 310 10 56
128 22 90 316 10 57
130 22 90 316 10 58
132 22 90 324 10 59
135 22 90 329 10 60
137 22 90 339 10 61
139 22 90 342 10 62
141 22 90 353 10 63
144 22 90 363 10 64
146 22 90 664 10 65
148 22 90 670 10 66
150 22 90 646 10 67
153 22 90 627 10 68
155 22 90 604 10 69
157 22 90 599 10 70
159 22 90 576 10 71
162 22 90 567 10 72
164 22 90 525 10 73
